Date;Total;PEA;BTC;Plus-value;Delta;PV du Jour;ESE;Flux (€);PF_Return_TWR;ESE_Return;PF_Index100;ESE_Index100;PF_Index100.1;ESE_Index100.1
05/02/2026;18173.43;17394.66;778.76;2175.44;-294.45;-294.45;29.21;0;-1,59;-0,88;98.68;99.6;-1.32;-0.4
06/02/2026;18422.22;17570.24;851.98;2424.23;248.79;248.79;29.46;0;1,37;0,85;100.03;100.45;0.03;0.45
07/02/2026;18397.68;17570.24;827.44;2399.69;-24.54;-24.54;29.46;0;-0,13;-0,00;99.9;100.45;-0.1;0.45
08/02/2026;18427.06;17570.24;856.82;2429.07;29.38;29.38;29.46;0;0,16;-0,00;100.06;100.45;0.06;0.45
09/02/2026;18503.03;17664.94;838.09;2505.04;75.97;75.97;29.55;0;0,41;0,30;100.47;100.75;0.47;0.75
10/02/2026;18480.53;17660.92;819.61;2482.54;-22.5;-22.5;29.54;0;-0,12;-0,03;100.35;100.72;0.35;0.72
11/02/2026;18428.18;17627.98;800.2;2430.19;-52.35;-52.35;29.49;0;-0,28;-0,16;100.07;100.56;0.07;0.56
12/02/2026;18185.9;17393.5;792.41;2187.92;-242.28;-242.28;29.19;0;-1,31;-1,03;98.75;99.53;-1.25;-0.47
13/02/2026;18190.03;17366.1;823.93;2192.04;4.13;4.13;29.14;0;0,02;-0,19;98.77;99.34;-1.23;-0.66
14/02/2026;18202.42;17366.1;836.32;2204.43;12.39;12.39;29.14;0;0,07;-0,02;98.84;99.32;-1.16;-0.68
15/02/2026;18184.91;17366.1;818.81;2186.92;-17.51;-17.51;29.14;0;-0,10;-0,02;98.74;99.31;-1.26;-0.69
16/02/2026;18139.24;17315.92;823.32;2141.25;-45.67;-45.67;29.08;0;-0,25;-0,20;98.49;99.11;-1.51;-0.89
17/02/2026;18174.57;17365.7;808.87;2176.58;35.33;35.33;29.15;0;0,19;0,24;98.68;99.35;-1.32;-0.65
18/02/2026;18431.76;17632.8;798.95;2433.77;257.19;257.19;29.48;0;1,42;1,15;100.08;100.49;0.08;0.49
19/02/2026;18409.36;17602.01;807.36;2411.37;-22.4;-22.4;29.47;0;-0,12;-0,05;99.96;100.44;-0.04;0.44
20/02/2026;18478.24;17659.53;818.7;2480.25;68.88;68.88;29.52;0;0,37;0,17;100.33;100.61;0.33;0.61
21/02/2026;18478.78;17659.53;819.25;2480.79;0.54;0.54;29.52;0;0,00;0,00;100.33;100.61;0.33;0.61
22/02/2026;18471.28;17659.53;811.75;2473.29;-7.5;-7.5;29.52;0;-0,04;0,00;100.29;100.61;0.29;0.61
23/02/2026;18227.84;17447.57;780.28;2229.85;-243.44;-243.44;29.26;0;-1,32;-0,87;98.97;99.74;-1.03;-0.26
